[2022-10-11 10:02:05,282] [builder.py:2080]           [INFO]     | 102/103 | Drama Collection | + | The Witcher : le cauchemar du Loup (2021)                         |
[2022-10-11 10:02:05,301] [builder.py:2080]           [INFO]     | 103/103 | Drama Collection | + | Your Name. (2016)                                                 |
[2022-10-11 10:02:06,009] [builder.py:2100]           [INFO]     |                                                                                                    |
[2022-10-11 10:02:06,009] [builder.py:2102]           [INFO]     | 103 Movies Processed 103 Movies Added                                                              |
[2022-10-11 10:02:06,026] [plex.py:711]               [DEBUG]    | Smart Collection Test: ?type=1&sort=audienceRating%3Adesc&label=213022                             |
[2022-10-11 10:02:06,453] [builder.py:2441]           [INFO]     |                                                                                                    |
[2022-10-11 10:02:06,454] [builder.py:2442]           [INFO]     |=============================== Updating Details of Drama Collection ===============================|
[2022-10-11 10:02:06,454] [builder.py:2443]           [INFO]     |                                                                                                    |
[2022-10-11 10:02:06,722] [builder.py:2509]           [INFO]     | Collection Metadata Edits                                                                          |
                                                                 | Summary (summary) | Drama film is a genre that relies on the emotional and relational development of realistic characters. While Drama film relies heavily on this kind of development, dramatic themes play a large role in the plot as well. Often, these dramatic themes are taken from intense, real life issues. Whether heroes or heroines are facing a conflict from the outside or a conflict within themselves, Drama film aims to tell an honest story of human struggles.
                                                                 | Sort Title | +3_Drama
                                                                 | Label | +PMM
[2022-10-11 10:02:07,010] [builder.py:2513]           [INFO]     | Details: have been updated
[2022-10-11 10:02:07,011] [builder.py:2517]           [INFO]     | 
[2022-10-11 10:02:07,011] [builder.py:2580]           [WARNING]  | Asset Warning: Unable to find asset folder: 'Drama'
[2022-10-11 10:02:07,011] [util.py:150]               [DEBUG]    | 1 poster found:
[2022-10-11 10:02:07,012] [util.py:152]               [DEBUG]    | Method: url_poster Poster: https://raw.githubusercontent.com/MonsieurZed/poster/main/img/GENRE_DRAMA.png
